Zombie Chow,2
Equaity,2
Bluegill Warrior,2
Shielded Minibot,2
Wild Pyromancer,1
Muster for Battle,2
Aldor Peacekeeper,1
Murloc Warleader,2
Truesilver Champion,1
Consecration,2
Cult Master,1
Defender of Argus,1
Keeper of Uldaman,1
Old Murk-Eye,1
Antique Healbot,2
Azure Drake,2
Sludge Belcher,2
Lay On Hands,2
Anyfin Can Happen,2
